DiabetesTypeOne,DiabetesTypeTwo,liverDisease,heartDisease,kidneyDisease,Flu,Fever,LowBP,HighBP,Recommended,Recommended2,Recommended3,Recommended4,Recommended5
yes,yes,yes,yes,yes,yes,yes,yes,yes,SteelcutOats,mixvegitables,Smokedsalmon,AlooGobi,PepperChickenFry
yes,yes,yes,yes,yes,yes,yes,yes,no,Smokedsalmon,TawaChickenfry,ChickencornSoup,SteelcutOats,ArabicSeekhKabab
yes,yes,yes,yes,yes,yes,yes,no,yes,PepperChickenFry,PalakChicken,SteelcutOats,ChickenKeemaParatha,mixvegitables
yes,yes,yes,yes,yes,yes,yes,no,no,PakistaniShamiKababs,ChickenKeemaParatha,mixvegitables,AlooGobi ,SafedMurghKurma
yes,yes,yes,yes,yes,yes,no,yes,yes,mixvegitables,ChickenNuggets,AlooGobi ,SteelcutOats,ChickenKarahi
yes,yes,yes,yes,yes,yes,no,yes,no,PakistaniShamiKababs,SafedMurghKurma,SteelcutOats,BoiledGreenVegetables,CabbageChanaDal
yes,yes,yes,yes,yes,yes,no,no,yes,ChickenKarahi,ChickenPuffs,Smokedsalmon,HydrabadiHaleem,BoiledGreenVegetables
yes,yes,yes,yes,yes,yes,no,no,no,AlooGobi ,HydrabadiHaleem,ChickenKarahi,EasyBoiledRice,PakistaniShamiKababs
yes,yes,yes,yes,yes,no,yes,yes,yes,SteelcutOats,ChickensaladSandwitch,Smokedsalmon,BabyPotato,mixvegitables
yes,yes,yes,yes,yes,no,yes,yes,no,Smokedsalmon,ChickencornSoup,ChickensaladSandwitch,JeeraAloo,PalakChicken
yes,yes,yes,yes,yes,no,yes,no,yes,PepperChickenFry,ChickenMayyonaisSandwitch,mixvegitables,AlooGobiMatar,CabbageChanaDal
yes,yes,yes,yes,yes,no,yes,no,no,mixvegitables,Smokedsalmon,PepperChickenFry,CabbageChanaDal,AlooPalak
yes,yes,yes,yes,yes,no,no,yes,yes,ChickenKarahi,SteelcutOats,PepperChickenFry,AlooGajarMatar,PumpkinBhaji
yes,yes,yes,yes,yes,no,no,yes,no,WhiteChickenKorma ,ChickenKarahi,ArabicSeekhKabab,AlooPalak,JeeraAloo
yes,yes,yes,yes,yes,no,no,no,yes,ArabicSeekhKabab,mixvegitables,PepperChickenFry,PumpkinBhaji,BabyPotato
yes,yes,yes,yes,yes,no,no,no,no,ChickenKarahi,MuttonDumBiryani,ArabicSeekhKabab,PepperChickenFry,Smokedsalmon
yes,yes,yes,yes,no,yes,yes,yes,yes,mixvegitables,PepperChickenFry,SteelcutOats,ArabicSeekhKabab,ChickencornSoup
yes,yes,yes,yes,no,yes,yes,yes,no,Smokedsalmon,mixvegitables,PepperChickenFry,JeeraAloo,SteelcutOats
yes,yes,yes,yes,no,yes,yes,no,yes,EASYHONEYGARLICSALMON,mixvegitables,WhiteChickenKorma ,SafedMurghKurma,JeeraAloo
yes,yes,yes,yes,no,yes,yes,no,no,ChickenKarahi,EASYHONEYGARLICSALMON,WhiteChickenKorma ,JeeraAloo,AlooGobi 
yes,yes,yes,yes,no,yes,no,yes,yes,AlooGobi ,Smokedsalmon,PalakChicken,CabbageChanaDal,SteelcutOats
yes,yes,yes,yes,no,yes,no,yes,no,PepperChickenFry,Smokedsalmon,ArabicSeekhKabab,BoiledGreenVegetables,JeeraAloo
yes,yes,yes,yes,no,yes,no,no,yes,WhiteChickenKorma ,ChickensaladSandwitch,HydrabadiHaleem,PakistaniShamiKababs,ChickenKarahi
yes,yes,yes,yes,no,yes,no,no,no,ArabicSeekhKabab,ChickenKarahi,PepperChickenFry,mixvegitables,Smokedsalmon
yes,yes,yes,yes,no,no,yes,yes,yes,mixvegitables,PalakChicken,EASYHONEYGARLICSALMON,JeeraAloo,ChickensaladSandwitch
yes,yes,yes,yes,no,no,yes,yes,no,mixvegitables,ChickensaladSandwitch,PalakChicken,CabbageChanaDal,JeeraAloo
yes,yes,yes,yes,no,no,yes,no,yes,EASYHONEYGARLICSALMON,PalakChicken,mixvegitables,AlooPalak,PepperChickenFry
yes,yes,yes,yes,no,no,yes,no,no,PepperChickenFry,SteelcutOats,EASYHONEYGARLICSALMON,PumpkinBhaji,ChickenKarahi
yes,yes,yes,yes,no,no,no,yes,yes,EASYHONEYGARLICSALMON,ChickenMayyonaisSandwitch,mixvegitables,JeeraAloo,ArabicSeekhKabab
yes,yes,yes,yes,no,no,no,yes,no,mixvegitables,ChickenKarahi,PepperChickenFry,BabyPotato,Smokedsalmon
yes,yes,yes,yes,no,no,no,no,yes ,Smokedsalmon,HydrabadiHaleem,ChickenKarahi,JeeraAloo,PumpkinBhaji
yes,yes,yes,yes,no,no,no,no,no,SteelcutOats,mixvegitables,Smokedsalmon,AlooGobi,PepperChickenFry
yes,yes,yes,no,yes,yes,yes,yes,yes,SteelcutOats,TawaChickenfry,ChickencornSoup,ArabicSeekhKabab,PalakChicken
yes,yes,yes,no,yes,yes,yes,yes,no,SteelcutOats,PakistaniShamiKababs,ChickenKeemaParatha,ChickenNuggets,SafedMurghKurma
yes,yes,yes,no,yes,yes,yes,no,yes,SteelcutOats,ChickenKarahi,ChickenPuffs,HydrabadiHaleem,ChickensaladSandwitch
yes,yes,yes,no,yes,yes,yes,no,no,SteelcutOats,ChickenMayyonaisSandwitch,WhiteChickenKorma,MuttonDumBiryani,EASYHONEYGARLICSALMON
